ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-187N|refseq:NP_476824|uniprotkb:P10083	DIP-73N|refseq:NP_523876|uniprotkb:P18491	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-342E	dip-quality-status:core	dip:0002(small scale)		-
DIP-255N|refseq:NP_729571|uniprotkb:Q24325	DIP-228N|uniprotkb:P51123	 -	-	-	-	MI:0013(biophysical)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-161E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-147N|uniprotkb:P21675	DIP-255N|refseq:NP_729571|uniprotkb:Q24325	 -	-	-	-	MI:0013(biophysical)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S	taxid:9606(Homo sapiens)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-162E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-325N|refseq:NP_476803|uniprotkb:P10084	DIP-356N|refseq:NP_524509|uniprotkb:Q01068	 -	-	-	-	MI:0018(two hybrid)|MI:0401(biochemical)	-	pubmed:9371806|pubmed:DIP-326S|pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-345E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-627N|refseq:NP_524511|uniprotkb:P13096	DIP-50N|refseq:NP_477189|uniprotkb:P11420	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-368E	dip-quality-status:core	dip:0002(small scale)		-
DIP-526N|refseq:NP_476768	DIP-45N|refseq:NP_525069|uniprotkb:P13217	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9003779|pubmed:DIP-182S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-273E	dip-quality-status:core	dip:0002(small scale)		-
DIP-721N|refseq:NP_524505|uniprotkb:Q01069	DIP-636N|refseq:NP_476694|uniprotkb:P09775	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-355E	dip-quality-status:core	dip:0002(small scale)		-
DIP-158N|uniprotkb:P34021	DIP-641N|refseq:NP_002948|uniprotkb:P19793	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S	taxid:7227(Drosophila melanogaster)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-674E	dip-quality-status:core	dip:0002(small scale)		-
DIP-645N|refseq:NP_476781|uniprotkb:P20153	DIP-158N|uniprotkb:P34021	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-666E	dip-quality-status:core	dip:0002(small scale)		-
DIP-929N|uniprotkb:P49869	DIP-645N|refseq:NP_476781|uniprotkb:P20153	 -	-	-	-	MI:0071(molecular sieving)|MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S|pubmed:7644522|pubmed:DIP-404S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-667E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-927N|uniprotkb:P49870	DIP-645N|refseq:NP_476781|uniprotkb:P20153	 -	-	-	-	MI:0071(molecular sieving)|MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S|pubmed:7644522|pubmed:DIP-404S	taxid:7091(Bombyx mori)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-668E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-517N|refseq:NP_077364	DIP-645N|refseq:NP_476781|uniprotkb:P20153	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S	taxid:10116(Rattus norvegicus)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-669E	dip-quality-status:core	dip:0002(small scale)		-
DIP-788N|uniprotkb:P49700	DIP-158N|uniprotkb:P34021	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S	taxid:7091(Bombyx mori)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-670E	dip-quality-status:core	dip:0002(small scale)		-
DIP-788N|uniprotkb:P49700	DIP-929N|uniprotkb:P49869	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S	taxid:7091(Bombyx mori)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-671E	dip-quality-status:core	dip:0002(small scale)		-
DIP-641N|refseq:NP_002948|uniprotkb:P19793	DIP-929N|uniprotkb:P49869	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S	taxid:9606(Homo sapiens)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-675E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5N|refseq:NP_476859|uniprotkb:P07207	DIP-171N|uniprotkb:P31266	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8749394|pubmed:DIP-410S	taxid:7227(Drosophila melanogaster)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-699E	dip-quality-status:core	dip:0002(small scale)		-
DIP-177N|refseq:NP_476868|uniprotkb:P28159	DIP-214N|uniprotkb:Q01705	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8749394|pubmed:DIP-410S	taxid:7227(Drosophila melanogaster)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-700E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5N|refseq:NP_476859|uniprotkb:P07207	DIP-177N|refseq:NP_476868|uniprotkb:P28159	 -	-	-	-	MI:0018(two hybrid)|MI:0071(molecular sieving)|MI:0020(transmission electron microscopy)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0028(cosedimentation in solution)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:17535912|pubmed:DIP-16817S|pubmed:17535912|pubmed:DIP-16817S|pubmed:8749394|pubmed:DIP-410S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:17535912|pubmed:DIP-16817S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-701E	dip-quality-status:core	dip:0005(high throughput)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0004(small scale)		-
DIP-115N|refseq:NP_477493|uniprotkb:P25028	DIP-115N|refseq:NP_477493|uniprotkb:P25028	-	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9418866|pubmed:DIP-267S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-814E	dip-quality-status:core	dip:0002(small scale)		-
DIP-649N|refseq:NP_476797|uniprotkb:P23572	DIP-102N|refseq:NP_001817|uniprotkb:P61024	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7809159|pubmed:DIP-114S	taxid:7227(Drosophila melanogaster)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1008E	dip-quality-status:core	dip:0002(small scale)		-
DIP-102N|refseq:NP_001817|uniprotkb:P61024	DIP-648N|uniprotkb:P23573	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7809159|pubmed:DIP-114S	taxid:9606(Homo sapiens)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1009E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1139N|refseq:NP_524184|uniprotkb:O02194	DIP-5N|refseq:NP_476859|uniprotkb:P07207	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10077672|pubmed:DIP-489S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1341E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1159N|uniprotkb:Q27387	DIP-1159N|uniprotkb:Q27387	-	-	-	-	MI:0254(genetic interference)	-	pubmed:8491197|pubmed:DIP-505S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0254(genetic interference)	MI:0465(dip)	DIP-1365E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2663N|refseq:NP_476616|uniprotkb:P08928	DIP-2663N|refseq:NP_476616|uniprotkb:P08928	-	-	-	-	MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0040(electron microscopy)|MI:0018(two hybrid)|MI:0028(cosedimentation in solution)	-	pubmed:8776884|pubmed:DIP-1022S|pubmed:8776884|pubmed:DIP-1022S|pubmed:8776884|pubmed:DIP-1022S|pubmed:8776884|pubmed:DIP-1022S|pubmed:8776884|pubmed:DIP-1022S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-3497E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-325N|refseq:NP_476803|uniprotkb:P10084	DIP-73N|refseq:NP_523876|uniprotkb:P18491	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-19112E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)		-
DIP-73N|refseq:NP_523876|uniprotkb:P18491	DIP-50N|refseq:NP_477189|uniprotkb:P11420	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-19113E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)		-
DIP-18461N|refseq:NP_524193	DIP-18462N|refseq:NP_524179|uniprotkb:P52304	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:14605208|pubmed:DIP-3793S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-20500E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18469N|refseq:NP_523936|uniprotkb:Q24133	DIP-18494N|refseq:NP_725501	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-20544E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18105N|refseq:NP_524618	DIP-17554N|refseq:NP_730935|uniprotkb:Q24090	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:14605208|pubmed:DIP-3793S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-20663E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17554N|refseq:NP_730935|uniprotkb:Q24090	DIP-18589N|refseq:NP_524106|uniprotkb:Q95RI5	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-20670E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19297N|refseq:NP_649518	DIP-19300N|refseq:NP_524120	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-21796E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17921N|refseq:NP_611427|uniprotkb:Q8T0S6	DIP-18696N|refseq:NP_788721|uniprotkb:Q9VCR6	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:14605208|pubmed:DIP-3793S|pubmed:23940457|pubmed:DIP-16242S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-22178E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0004(small scale)		-
DIP-18640N|refseq:NP_608965	DIP-17555N|refseq:NP_647852	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:14605208|pubmed:DIP-3793S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-22674E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18395N|refseq:NP_610427	DIP-17364N|refseq:NP_647767|uniprotkb:Q95RR8	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)	-	pubmed:24880343|pubmed:DIP-17582S|pubmed:24880343|pubmed:DIP-17582S|pubmed:14605208|pubmed:DIP-3793S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0218(physical interaction)	MI:0465(dip)	DIP-22960E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0005(high throughput)		-
DIP-19972N|refseq:NP_477430	DIP-19968N|uniprotkb:P18824	 -	-	-	-	MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:25369031|pubmed:DIP-16948S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-23174E	dip-quality-status:core	dip:0005(high throughput)|dip:0004(small scale)		-
DIP-20019N|refseq:NP_650933	DIP-19199N|refseq:NP_525063|uniprotkb:P48555	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:14605208|pubmed:DIP-3793S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-23272E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19328N|refseq:NP_610591	DIP-20151N|refseq:NP_732021	 -	-	-	-	MI:0069(mass spectrometry studies of complexes)|MI:0114(x-ray crystallography)|MI:0018(two hybrid)|MI:0067(light scattering)|MI:0096(pull down)|MI:0020(transmission electron microscopy)|MI:0071(molecular sieving)	-	pubmed:21552261|pubmed:DIP-14640S|pubmed:21552261|pubmed:DIP-14640S|pubmed:14605208|pubmed:DIP-3793S|pubmed:21552261|pubmed:DIP-14640S|pubmed:21552261|pubmed:DIP-14640S|pubmed:21552261|pubmed:DIP-14640S|pubmed:21552261|pubmed:DIP-14640S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-23635E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0005(high throughput)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-20320N|refseq:NP_649512	DIP-18564N|refseq:NP_524894	 -	-	-	-	MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:24492843|pubmed:DIP-16492S|pubmed:24492843|pubmed:DIP-16492S|pubmed:24492843|pubmed:DIP-16492S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-23988E	dip-quality-status:core	dip:0005(high throughput)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-19414N|refseq:NP_649909	DIP-20119N|refseq:NP_649799	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-23506E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18462N|refseq:NP_524179|uniprotkb:P52304	DIP-20542N|refseq:NP_649901	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-24447E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-20227N|refseq:NP_730262	DIP-17914N|refseq:NP_523902|uniprotkb:O44783	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-27026E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-20765N|refseq:NP_612020	DIP-20488N|refseq:NP_609531	 -	-	-	-	MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-27238E	dip-quality-status:core	dip:0005(high throughput)|dip:0004(small scale)		-
DIP-20060N|refseq:NP_524417|uniprotkb:P54359	DIP-18454N|refseq:NP_523430|uniprotkb:P42207	 -	-	-	-	MI:0018(two hybrid)|MI:0096(pull down)	-	pubmed:14605208|pubmed:DIP-3793S|pubmed:24633326|pubmed:DIP-16553S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-27476E	dip-quality-status:core	dip:0005(high throughput)|dip:0004(small scale)		-
DIP-17087N|refseq:NP_523413|uniprotkb:Q24564	DIP-19479N|refseq:NP_524614|uniprotkb:P13469	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:14605208|pubmed:DIP-3793S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-27865E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
